term_str,max_pos,dfidf
ability,NN,102.34227170129566
publish,NN,102.34227170129566
statutory,NN,102.34227170129566
illegal,JJ,102.34227170129566
deems,NNS,102.34227170129566
derived,VBN,102.34227170129566
director,NN,102.33960532920639
criteria,NNS,102.33960532920639
enterprise,NN,102.33960532920639
thereby,RB,102.33960532920639
opposition,NN,102.33960532920639
indivisible,JJ,102.33960532920639
permanently,RB,102.33960532920639
inhabitants,NNS,102.33960532920639
dies,NNS,102.33960532920639
prepared,JJ,102.33960532920639
ideas,NNS,102.33960532920639
martial,NN,102.33960532920639
amending,VBG,102.33960532920639
warrant,NN,102.33960532920639
organized,VBN,102.33960532920639
institute,NN,102.33960532920639
uphold,JJ,102.33960532920639
complaint,NN,102.33960532920639
collected,VBN,102.33960532920639
favour,NN,102.33960532920639
resolved,VBN,102.33960532920639
conflicts,NNS,102.33960532920639
inability,NN,102.27287600791496
declares,NNS,102.27287600791496
co,NN,102.27287600791496
finances,NNS,102.27287600791496
authorization,NN,102.27287600791496
organize,VB,102.27287600791496
magistrates,NNS,102.27287600791496
exchange,NN,102.27287600791496
rendered,VBN,102.27287600791496
comes,VBZ,102.27287600791496
efficiency,NN,102.27287600791496
governmental,NN,102.27287600791496
woman,NN,102.27287600791496
assent,NN,102.26664573629064
seal,NN,102.26664573629064
asylum,NN,102.26664573629064
budgetary,JJ,102.26664573629064
join,NN,102.26664573629064
unconstitutional,JJ,102.26664573629064
gender,NN,102.26664573629064
immunities,NNS,102.26664573629064
particularly,RB,102.26664573629064
houses,NNS,102.26664573629064
bringing,VBG,102.26664573629064
answer,NN,102.26664573629064
assemblies,NNS,102.26664573629064
slavery,NN,102.26664573629064
generations,NNS,102.26664573629064
scope,NN,102.26664573629064
certified,VBN,102.26664573629064
prevail,NN,102.26664573629064
assisted,VBN,102.26664573629064
proportional,NN,102.26664573629064
facilitate,NN,102.26664573629064
improvement,NN,102.26664573629064
deal,NN,102.26664573629064
ends,NNS,102.26664573629064
ex,NN,102.26664573629064
disqualified,VBN,102.26664573629064
industrial,JJ,102.26664573629064
refusal,NN,102.26664573629064
treasury,NN,102.26664573629064
appears,VBZ,102.26664573629064
produce,NN,102.26664573629064
construction,NN,102.26664573629064
seventy,NN,102.26664573629064
agricultural,JJ,102.1842438106616
autonomous,JJ,102.1842438106616
inconsistent,NN,102.1842438106616
occurs,NNS,102.1842438106616
solidarity,NN,102.1842438106616
governor,NN,102.1842438106616
presentation,NN,102.1842438106616
sign,NN,102.1842438106616
credit,NN,102.1842438106616
owned,VBN,102.1842438106616
kind,NN,102.1842438106616
tenure,NN,102.1842438106616
achieve,NN,102.1842438106616
fifty,NN,102.1842438106616
specifically,RB,102.1842438106616
instruments,NNS,102.1842438106616
released,VBN,102.1842438106616
empowered,VBN,102.1842438106616
consisting,VBG,102.1842438106616
practices,NNS,102.1842438106616
resulting,VBG,102.1842438106616
severe,JJ,102.17215258203538
constitutes,NNS,102.17215258203538
represents,VBZ,102.17215258203538
provisional,JJ,102.17215258203538
lives,NNS,102.17215258203538
implemented,VBN,102.17215258203538
accompanied,VBN,102.17215258203538
ceased,VBN,102.17215258203538
several,JJ,102.17215258203538
traditions,NNS,102.17215258203538
categories,NNS,102.17215258203538
army,NN,102.17215258203538
issuing,VBG,102.17215258203538
electors,NNS,102.17215258203538
stipulated,VBN,102.17215258203538
violated,VBN,102.17215258203538
thought,NN,102.17215258203538
labor,NN,102.17215258203538
allocation,NN,102.17215258203538
allow,VB,102.17215258203538
stage,NN,102.17215258203538
degree,NN,102.17215258203538
claims,NNS,102.17215258203538
forth,NN,102.17215258203538
spirit,NN,102.17215258203538
witnesses,NNS,102.17215258203538
rural,JJ,102.17215258203538
therefore,RB,102.17215258203538
relationship,NN,102.17215258203538
modified,VBN,102.17215258203538
commence,NN,102.17215258203538
communicate,NN,102.17215258203538
anything,NN,102.0766282361348
disposal,NN,102.0766282361348
dismiss,NN,102.0766282361348
fill,NN,102.0766282361348
undertake,NN,102.0766282361348
failure,NN,102.0766282361348
equivalent,NN,102.0766282361348
wealth,NN,102.0766282361348
civic,NN,102.0766282361348
principal,NN,102.0766282361348
returned,VBN,102.0766282361348
pertaining,VBG,102.0766282361348
custody,NN,102.0766282361348
prosecuted,VBN,102.0766282361348
secrecy,NN,102.0766282361348
normal,JJ,102.0766282361348
prevented,VBN,102.0766282361348
measure,NN,102.0766282361348
agreed,VBD,102.0766282361348
save,VB,102.0766282361348
source,NN,102.0766282361348
extradition,NN,102.05579957557569
reviewed,VBN,102.05579957557569
assumes,NNS,102.05579957557569
keeping,VBG,102.05579957557569
territories,NNS,102.05579957557569
ranks,NNS,102.05579957557569
constituency,NN,102.05579957557569
respects,NNS,102.05579957557569
conducting,VBG,102.05579957557569
sports,NNS,102.05579957557569
inalienable,JJ,102.05579957557569
sustainable,JJ,102.05579957557569
define,NN,102.05579957557569
completion,NN,102.05579957557569
market,NN,102.05579957557569
retain,NN,102.05579957557569
honor,NN,102.05579957557569
simple,NN,102.05579957557569
families,NNS,102.05579957557569
enforce,NN,102.05579957557569
remit,NN,102.05579957557569
commissioner,NN,102.05579957557569
healthy,JJ,102.05579957557569
read,NN,102.05579957557569
implementing,VBG,102.05579957557569
program,NN,102.05579957557569
reduction,NN,102.05579957557569
employed,VBN,102.05579957557569
regarded,VBN,102.05579957557569
traditional,JJ,102.05579957557569
regulatory,JJ,102.05579957557569
father,NN,102.05579957557569
latter,NN,101.9502758356549
terminate,NN,101.9502758356549
rate,NN,101.9502758356549
exclusively,RB,101.9502758356549
consult,NN,101.9502758356549
governance,NN,101.9502758356549
parts,NNS,101.9502758356549
discussion,NN,101.9502758356549
investigate,NN,101.9502758356549
advise,NN,101.9502758356549
abuse,NN,101.9502758356549
constitutionality,NN,101.9502758356549
plans,NNS,101.9502758356549
everyone,NN,101.9502758356549
domestic,JJ,101.9502758356549
safeguarding,VBG,101.9502758356549
follow,VB,101.9502758356549
delegation,NN,101.9502758356549
establishes,NNS,101.9502758356549
whatsoever,NN,101.9502758356549
help,NN,101.9502758356549
compelled,VBN,101.9502758356549
requirement,NN,101.91725038515715
object,NN,101.91725038515715
data,NNS,101.91725038515715
companies,NNS,101.91725038515715
gives,VBZ,101.91725038515715
corruption,NN,101.91725038515715
posts,NNS,101.91725038515715
preventing,VBG,101.91725038515715
appointing,VBG,101.91725038515715
replaced,VBN,101.91725038515715
notify,NN,101.91725038515715
confirmed,VBN,101.91725038515715
servants,NNS,101.91725038515715
payments,NNS,101.91725038515715
conventions,NNS,101.91725038515715
greatest,JJS,101.91725038515715
violations,NNS,101.91725038515715
assemble,JJ,101.91725038515715
confirm,NN,101.91725038515715
attending,VBG,101.91725038515715
inheritance,NN,101.91725038515715
engaged,VBN,101.91725038515715
statutes,NNS,101.91725038515715
stating,VBG,101.91725038515715
corporate,JJ,101.91725038515715
assign,NN,101.80542683818723
entire,JJ,101.80542683818723
resolve,NN,101.80542683818723
stand,NN,101.80542683818723
grants,NNS,101.80542683818723
entities,NNS,101.80542683818723
monetary,JJ,101.80542683818723
annually,RB,101.80542683818723
absent,NN,101.80542683818723
breach,NN,101.80542683818723
inquiry,NN,101.80542683818723
names,NNS,101.80542683818723
quorum,NN,101.80542683818723
damage,NN,101.80542683818723
agencies,NNS,101.80542683818723
caused,VBN,101.80542683818723
lay,NN,101.80542683818723
quality,NN,101.80542683818723
aid,NN,101.80542683818723
constituencies,NNS,101.80542683818723
waters,NNS,101.80542683818723
proceeds,NNS,101.75615816739433
construed,VBN,101.75615816739433
validly,RB,101.75615816739433
moment,NN,101.75615816739433
residing,VBG,101.75615816739433
affirmation,NN,101.75615816739433
counsel,NN,101.75615816739433
independently,RB,101.75615816739433
directions,NNS,101.75615816739433
penal,NN,101.75615816739433
premises,NNS,101.75615816739433
fall,NN,101.75615816739433
university,NN,101.75615816739433
approves,NNS,101.75615816739433
award,NN,101.75615816739433
views,NNS,101.75615816739433
casting,VBG,101.75615816739433
consulted,VBN,101.75615816739433
message,NN,101.75615816739433
sectors,NNS,101.75615816739433
cruel,NN,101.75615816739433
organisation,NN,101.75615816739433
partial,JJ,101.75615816739433
popular,JJ,101.75615816739433
agenda,NN,101.75615816739433
pursue,NN,101.75615816739433
continued,JJ,101.75615816739433
ii,NN,101.75615816739433
sections,NNS,101.64231539045745
bound,NN,101.64231539045745
plan,NN,101.64231539045745
offences,NNS,101.64231539045745
seek,NN,101.64231539045745
accordingly,RB,101.64231539045745
prescribe,NN,101.64231539045745
initiated,VBN,101.64231539045745
trust,NN,101.64231539045745
permission,NN,101.64231539045745
degrading,VBG,101.64231539045745
balance,NN,101.64231539045745
rest,NN,101.64231539045745
strike,NN,101.64231539045745
entering,VBG,101.64231539045745
punishable,JJ,101.64231539045745
respectively,RB,101.64231539045745
appropriation,NN,101.64231539045745
proceeding,VBG,101.64231539045745
thereafter,RB,101.64231539045745
works,NNS,101.64231539045745
addressed,VBN,101.64231539045745
opportunities,NNS,101.64231539045745
reference,NN,101.64231539045745
obtaining,VBG,101.64231539045745
invalid,JJ,101.57216506663471
summon,NN,101.57216506663471
aimed,VBN,101.57216506663471
senate,NN,101.57216506663471
recommend,NN,101.57216506663471
capable,JJ,101.57216506663471
payable,JJ,101.57216506663471
accorded,VBN,101.57216506663471
promulgate,NN,101.57216506663471
april,NN,101.57216506663471
sale,NN,101.57216506663471
morals,NNS,101.57216506663471
creating,VBG,101.57216506663471
reasonably,RB,101.57216506663471
prohibition,NN,101.57216506663471
threatened,VBN,101.57216506663471
norms,NNS,101.57216506663471
grave,NN,101.57216506663471
authorised,VBN,101.57216506663471
estimates,NNS,101.57216506663471
secondary,JJ,101.57216506663471
operate,NN,101.46116978505991
anthem,NN,101.46116978505991
occupation,NN,101.46116978505991
affected,JJ,101.46116978505991
contracts,NNS,101.46116978505991
contract,NN,101.46116978505991
indirectly,RB,101.46116978505991
appoints,NNS,101.46116978505991
send,NN,101.46116978505991
exceptions,NNS,101.46116978505991
notified,VBN,101.46116978505991
imposition,NN,101.46116978505991
raise,NN,101.46116978505991
city,NN,101.46116978505991
impartial,JJ,101.46116978505991
municipal,JJ,101.46116978505991
judgments,NNS,101.46116978505991
requiring,VBG,101.46116978505991
records,NNS,101.46116978505991
c,NNS,101.46116978505991
alternative,NN,101.36490168201685
tasks,NNS,101.36490168201685
aggression,NN,101.36490168201685
oral,JJ,101.36490168201685
wholly,RB,101.36490168201685
consolidated,JJ,101.36490168201685
continuing,VBG,101.36490168201685
excluded,VBN,101.36490168201685
youth,NN,101.36490168201685
proportion,NN,101.36490168201685
building,NN,101.36490168201685
designed,VBN,101.36490168201685
messages,NNS,101.36490168201685
employers,NNS,101.36490168201685
guardian,NN,101.36490168201685
voluntary,JJ,101.36490168201685
commitment,NN,101.36490168201685
securing,VBG,101.36490168201685
reserve,NN,101.36490168201685
affirm,NN,101.36490168201685
intended,VBN,101.36490168201685
involves,NNS,101.36490168201685
ruling,NN,101.36490168201685
integration,NN,101.36490168201685
concluded,VBD,101.36490168201685
entity,NN,101.36490168201685
standard,NN,101.36490168201685
owner,NN,101.36490168201685
excess,NN,101.36490168201685
causes,NNS,101.36490168201685
discretion,NN,101.36490168201685
directed,VBN,101.26221267729973
arms,NNS,101.26221267729973
regions,NNS,101.26221267729973
completed,VBN,101.26221267729973
tribunals,NNS,101.26221267729973
follows,VBZ,101.26221267729973
incompatible,JJ,101.26221267729973
execute,NN,101.26221267729973
far,RB,101.26221267729973
keep,VB,101.26221267729973
settlement,NN,101.26221267729973
collectively,RB,101.26221267729973
dispute,NN,101.26221267729973
importance,NN,101.26221267729973
commander,NN,101.26221267729973
governed,VBN,101.26221267729973
examination,NN,101.26221267729973
treason,NN,101.26221267729973
fully,RB,101.26221267729973
maintaining,VBG,101.26221267729973
sit,NN,101.26221267729973
ninety,NN,101.26221267729973
expires,NNS,101.13398649957372
presumed,VBN,101.13398649957372
relate,NN,101.13398649957372
expired,VBD,101.13398649957372
urgency,NN,101.13398649957372
reject,NN,101.13398649957372
important,JJ,101.13398649957372
enters,NNS,101.13398649957372
redress,NN,101.13398649957372
fit,NN,101.13398649957372
suitable,JJ,101.13398649957372
agency,NN,101.13398649957372
mineral,NN,101.13398649957372
concern,NN,101.13398649957372
constituent,NN,101.13398649957372
republican,JJ,101.13398649957372
modify,NN,101.13398649957372
investigations,NNS,101.13398649957372
sea,NN,101.13398649957372
replacement,NN,101.13398649957372
projects,NNS,101.13398649957372
town,NN,101.13398649957372
lands,NNS,101.13398649957372
effects,NNS,101.13398649957372
doing,VBG,101.13398649957372
november,NN,101.13398649957372
observed,VBN,101.13398649957372
agriculture,NN,101.13398649957372
insufficient,NN,101.13398649957372
begin,NN,101.13398649957372
setting,VBG,101.13398649957372
falls,NNS,101.13398649957372
deprivation,NN,101.13398649957372
deliberate,NN,101.13398649957372
sacred,VBN,101.13398649957372
considering,VBG,101.13398649957372
register,NN,101.04566129145591
amnesty,NN,101.04566129145591
substitute,NN,101.04566129145591
danger,NN,101.04566129145591
incapacity,NN,101.04566129145591
commencement,NN,101.04566129145591
role,NN,101.04566129145591
already,RB,101.04566129145591
organ,NN,101.04566129145591
allowances,NNS,101.04566129145591
housing,NN,101.04566129145591
active,JJ,101.04566129145591
senior,JJ,101.04566129145591
connected,VBN,101.04566129145591
entered,VBN,101.04566129145591
sentenced,VBN,101.04566129145591
world,NN,101.04566129145591
sittings,NNS,101.04566129145591
enable,JJ,101.04566129145591
nationals,NNS,100.87902528646812
consistent,NN,100.87902528646812
expense,NN,100.87902528646812
statements,NNS,100.87902528646812
deliberations,NNS,100.87902528646812
exempt,NN,100.87902528646812
consultative,NN,100.87902528646812
exclusion,NN,100.87902528646812
methods,NNS,100.87902528646812
coordination,NN,100.87902528646812
method,NN,100.87902528646812
meaning,NN,100.87902528646812
forming,VBG,100.87902528646812
objection,NN,100.87902528646812
comprise,NN,100.87902528646812
adopts,NNS,100.87902528646812
forthwith,NN,100.87902528646812
spiritual,JJ,100.87902528646812
words,NNS,100.87902528646812
concerns,NNS,100.87902528646812
improve,VB,100.87902528646812
administering,VBG,100.87902528646812
arrangements,NNS,100.87902528646812
thousand,NN,100.87902528646812
especially,RB,100.87902528646812
kept,NN,100.87902528646812
faithful,NN,100.87902528646812
liabilities,NNS,100.87902528646812
justices,NNS,100.87902528646812
relative,NN,100.87902528646812
field,NN,100.87902528646812
chambers,NNS,100.87902528646812
interested,JJ,100.87902528646812
commit,NN,100.87902528646812
changes,NNS,100.81172761710287
enjoyment,NN,100.81172761710287
sector,NN,100.81172761710287
units,NNS,100.81172761710287
involved,VBN,100.81172761710287
resigns,NNS,100.81172761710287
acquire,VB,100.81172761710287
workers,NNS,100.81172761710287
facts,NNS,100.81172761710287
contribute,NN,100.81172761710287
observance,NN,100.81172761710287
statute,NN,100.81172761710287
identity,NN,100.81172761710287
selected,VBN,100.81172761710287
encourage,NN,100.81172761710287
executed,VBN,100.81172761710287
instrument,NN,100.81172761710287
complaints,NNS,100.81172761710287
ethnic,JJ,100.81172761710287
enact,NN,100.81172761710287
accountable,JJ,100.81172761710287
promoting,VBG,100.81172761710287
bear,NN,100.81172761710287
applying,VBG,100.59961044414948
influence,NN,100.59961044414948
fulfillment,NN,100.59961044414948
municipality,NN,100.59961044414948
types,NNS,100.59961044414948
personality,NN,100.59961044414948
pursuance,NN,100.59961044414948
certificate,NN,100.59961044414948
personally,RB,100.59961044414948
replace,VB,100.59961044414948
urban,JJ,100.59961044414948
establishments,NNS,100.59961044414948
occur,NN,100.59961044414948
substantial,JJ,100.59961044414948
foregoing,VBG,100.59961044414948
regardless,RB,100.59961044414948
foreigners,NNS,100.59961044414948
still,RB,100.59961044414948
combat,NN,100.59961044414948
damages,NNS,100.59961044414948
diversity,NN,100.59961044414948
restoration,NN,100.59961044414948
minor,NN,100.59961044414948
earlier,RBR,100.5606185960822
unlawful,JJ,100.5606185960822
equitable,JJ,100.5606185960822
legitimate,NN,100.5606185960822
preparation,NN,100.5606185960822
consequence,NN,100.5606185960822
officer,NN,100.5606185960822
thereto,NN,100.5606185960822
requests,NNS,100.5606185960822
solemnly,RB,100.5606185960822
insurance,NN,100.5606185960822
schools,NNS,100.5606185960822
restriction,NN,100.5606185960822
sources,NNS,100.5606185960822
punished,VBN,100.5606185960822
fourth,JJ,100.5606185960822
prevention,NN,100.5606185960822
assuming,VBG,100.5606185960822
faithfully,RB,100.5606185960822
speak,NN,100.29532031689031
invested,VBN,100.29532031689031
pronounced,VBN,100.29532031689031
impartiality,NN,100.29532031689031
complied,VBN,100.29532031689031
respected,VBN,100.29532031689031
modifications,NNS,100.29532031689031
fourteen,NN,100.29532031689031
recognised,VBN,100.29532031689031
refused,VBD,100.29532031689031
industry,NN,100.29532031689031
proclaimed,VBN,100.29532031689031
protects,NNS,100.29532031689031
respecting,VBG,100.29532031689031
banking,NN,100.29532031689031
banks,NNS,100.29532031689031
conform,NN,100.29532031689031
whichever,NN,100.29532031689031
run,VB,100.29532031689031
justified,JJ,100.29532031689031
signature,NN,100.29532031689031
prosecutors,NNS,100.29532031689031
remedy,NN,100.29532031689031
tender,NN,100.29532031689031
falling,VBG,100.29532031689031
charter,NN,100.29532031689031
islands,NNS,100.29532031689031
back,RB,100.29532031689031
organic,JJ,100.29532031689031
lie,NN,100.29532031689031
borders,NNS,100.29532031689031
ordinances,NNS,100.29532031689031
indirect,NN,100.29532031689031
incumbent,NN,100.29532031689031
returns,NNS,100.29532031689031
directors,NNS,100.29532031689031
clause,NN,100.29532031689031
servitude,NN,100.29532031689031
february,JJ,100.29532031689031
districts,NNS,100.2925363006745
attained,VBN,100.2925363006745
fixed,VBN,100.2925363006745
exists,NNS,100.2925363006745
appear,VB,100.2925363006745
command,NN,100.2925363006745
fifth,NN,100.2925363006745
even,RB,100.2925363006745
record,NN,100.2925363006745
faith,NN,100.2925363006745
fails,NNS,100.2925363006745
remaining,VBG,100.2925363006745
hear,NN,100.2925363006745
communications,NNS,100.2925363006745
allowed,VBN,100.2925363006745
media,NNS,100.2925363006745
experience,NN,100.2925363006745
arise,NN,100.00767810348364
b,NN,100.00767810348364
requested,VBN,100.00767810348364
examine,NN,100.00767810348364
exceptional,JJ,100.00767810348364
old,JJ,100.00767810348364
revision,NN,100.00767810348364
pensions,NNS,100.00767810348364
press,NN,100.00767810348364
labour,NN,100.00767810348364
affecting,VBG,100.00767810348364
external,JJ,100.00767810348364
languages,NNS,100.00767810348364
expenditures,NNS,100.00767810348364
taxation,NN,100.00767810348364
dismissed,VBN,100.00767810348364
branch,NN,99.96571845178669
separately,RB,99.96571845178669
announcement,NN,99.96571845178669
approving,VBG,99.96571845178669
leader,NN,99.96571845178669
conferring,VBG,99.96571845178669
satisfied,JJ,99.96571845178669
fine,NN,99.96571845178669
guaranteeing,VBG,99.96571845178669
ministerial,NN,99.96571845178669
week,NN,99.96571845178669
processes,NNS,99.96571845178669
directs,NNS,99.96571845178669
de,NNS,99.96571845178669
passage,NN,99.96571845178669
twice,RB,99.96571845178669
white,JJ,99.96571845178669
ratify,VB,99.96571845178669
deciding,VBG,99.96571845178669
forfeiture,NN,99.96571845178669
history,NN,99.96571845178669
prosperity,NN,99.96571845178669
obligatory,NN,99.96571845178669
twelve,NN,99.70623683950893
specify,NN,99.70623683950893
determining,VBG,99.70623683950893
hundred,VBN,99.70623683950893
ratification,NN,99.70623683950893
generally,RB,99.70623683950893
involving,VBG,99.70623683950893
demand,NN,99.70623683950893
pension,NN,99.70623683950893
mother,NN,99.70623683950893
view,NN,99.70623683950893
district,NN,99.70623683950893
extension,NN,99.70623683950893
salaries,NNS,99.70623683950893
chosen,NN,99.70623683950893
sent,NN,99.70623683950893
advice,NN,99.70623683950893
coordinate,NN,99.61035280588816
cost,NN,99.61035280588816
profit,NN,99.61035280588816
definition,NN,99.61035280588816
domicile,NN,99.61035280588816
lead,NN,99.61035280588816
emblem,NN,99.61035280588816
settle,VB,99.61035280588816
satisfy,NN,99.61035280588816
imposing,VBG,99.61035280588816
attached,VBN,99.61035280588816
try,NN,99.61035280588816
satisfaction,NN,99.61035280588816
sum,NN,99.61035280588816
financing,NN,99.61035280588816
universities,NNS,99.61035280588816
jurisdictions,NNS,99.61035280588816
great,JJ,99.61035280588816
enjoys,NNS,99.61035280588816
major,JJ,99.61035280588816
advancement,NN,99.61035280588816
amongst,NN,99.61035280588816
document,NN,99.61035280588816
man,NN,99.38840096084976
loss,NN,99.38840096084976
cabinet,NN,99.38840096084976
presiding,VBG,99.38840096084976
supervise,NN,99.38840096084976
presided,VBD,99.38840096084976
operations,NNS,99.38840096084976
reside,NN,99.38840096084976
fact,NN,99.38840096084976
levels,NNS,99.38840096084976
debates,NNS,99.22875489564903
failed,VBD,99.22875489564903
merit,NN,99.22875489564903
publicity,NN,99.22875489564903
disaster,NN,99.22875489564903
unconstitutionality,NN,99.22875489564903
likely,JJ,99.22875489564903
convention,NN,99.22875489564903
content,NN,99.22875489564903
reform,NN,99.22875489564903
ordinance,NN,99.22875489564903
costs,NNS,99.22875489564903
fee,NN,99.22875489564903
monitor,NN,99.22875489564903
committing,VBG,99.22875489564903
draw,NN,99.22875489564903
transfers,NNS,99.22875489564903
disabilities,NNS,99.22875489564903
agree,NN,99.22875489564903
introduction,NN,99.22875489564903
base,NN,99.22875489564903
unitary,JJ,99.22875489564903
main,JJ,99.22875489564903
supply,NN,99.22875489564903
domain,NN,99.22875489564903
inviolability,NN,99.22875489564903
vest,NN,99.22875489564903
sums,NNS,99.22875489564903
latest,JJS,99.22875489564903
study,NN,99.22875489564903
loan,NN,99.22875489564903
arbitration,NN,99.22875489564903
integral,JJ,99.22875489564903
contempt,NN,99.22875489564903
dealt,NN,99.22875489564903
commerce,NN,99.22875489564903
communal,NN,99.22875489564903
missions,NNS,99.22875489564903
censorship,NN,99.22875489564903
type,NN,99.22875489564903
revocation,NN,99.22875489564903
lease,NN,99.22875489564903
senators,NNS,99.22875489564903
resident,NN,99.05435468445651
personnel,NNS,99.05435468445651
planning,NN,99.05435468445651
fund,NN,99.05435468445651
individually,RB,99.05435468445651
bank,NN,99.05435468445651
various,JJ,99.05435468445651
permit,NN,99.05435468445651
founded,VBN,99.05435468445651
ground,NN,99.05435468445651
investment,NN,99.05435468445651
best,JJS,99.05435468445651
regulating,VBG,99.05435468445651
legality,NN,99.05435468445651
exploitation,NN,99.05435468445651
heritage,NN,99.05435468445651
consists,NNS,99.05435468445651
october,NN,99.05435468445651
instruction,NN,99.05435468445651
defense,NN,99.05435468445651
obliged,VBN,99.05435468445651
revoked,VBN,99.05435468445651
towards,NNS,99.05435468445651
house,NN,99.05435468445651
submits,NNS,98.8204388833587
declarations,NNS,98.8204388833587
proclaim,NN,98.8204388833587
practicable,JJ,98.8204388833587
agents,NNS,98.8204388833587
accord,NN,98.8204388833587
agent,NN,98.8204388833587
introduce,NN,98.8204388833587
renewal,NN,98.8204388833587
counted,VBN,98.8204388833587
discriminatory,NN,98.8204388833587
renewable,JJ,98.8204388833587
appropriated,VBN,98.8204388833587
authorise,NN,98.8204388833587
interval,NN,98.8204388833587
discuss,NN,98.8204388833587
innocent,NN,98.8204388833587
voter,NN,98.8204388833587
recognize,VB,98.8204388833587
geographical,JJ,98.8204388833587
filed,VBN,98.8204388833587
proven,NN,98.8204388833587
deliver,NN,98.8204388833587
rates,NNS,98.8204388833587
qualification,NN,98.8204388833587
ending,VBG,98.8204388833587
impeachment,NN,98.8204388833587
mission,NN,98.8204388833587
regulates,NNS,98.8204388833587
alleged,VBN,98.8204388833587
default,NN,98.8204388833587
